id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1339,REQ-FUNC-002,Functional,"The system shall automatically revert a 'Premium User' account to the 'Free User' tier upon subscription termination, re-applying all free tier limitations.",Subscription Management,"Upon expiration, cancellation, or refund of a Premium subscription, the user's account shall revert to the 'Free User' class.",[],[],"['REQ-BR-001', 'REQ-BR-002']",FALSE,high,"[""When a subscription expires, the user's status in the database is immediately updated from 'Premium' to 'Free'."", 'Existing user data that exceeds free tier limits (e.g., 25 books) must be preserved but made read-only.', 'A reverted user with more than 20 books must be prevented from adding new books.', 'A reverted user with more than one active goal must be prevented from adding new goals.', 'The UI must clearly indicate that a limit has been reached and provide a prompt to re-subscribe.']"
1340,REQ-FUNC-003,Functional,"The system shall display a mandatory, multi-step onboarding sequence for all users immediately following their first successful authentication.",Onboarding,"The system shall present a guided, multi-step onboarding flow to users upon their first login.",[],[],['REQ-FUNC-001'],FALSE,high,"[""The onboarding flow must be triggered only once, on the user's first login."", 'The flow must include a step to set an initial yearly reading goal, with a clear option to skip.', ""The flow must include a step to add a 'Currently Reading' book, with a clear option to skip."", 'The flow must conclude with a brief, dismissible tour of the main UI elements (Dashboard, Log Session button, Goals tab).', 'Upon completing or dismissing the onboarding, the user must be directed to the main Dashboard screen.']"
1341,REQ-FUNC-006,Functional,"The system shall enable users to create, edit, and delete personalized reading goals based on type, target, and period.",Goal Management,Users shall be able to set various types of reading goals.,[],[],['REQ-FUNC-005'],FALSE,high,"['Users must be able to select a goal type from: number of books, number of pages, or amount of time.', 'Users must be able to define a time period for the goal (day, week, month, year).', 'Users must be able to set a numerical target value for the chosen goal.', 'The system must automatically update goal progress after each reading session is logged.', 'The UI must display visual indicators (e.g., progress bars) for all active goals.']"
1342,REQ-FUNC-007,Functional,The system shall generate and display personalized book recommendations to the user by processing their data via the OpenAI GPT-4 API.,AI Suggestions,The app shall provide intelligent book recommendations by sending user data as prompts to a third-party LLM API (OpenAI GPT-4).,[],"[""All calls to the LLM API must be rate-limited to control costs."",""User feedback must be stored and included in subsequent prompts to refine future recommendations.""]",['REQ-FUNC-004'],FALSE,high,"[""The backend must construct a prompt for the LLM including the user's reading history, goals, and vocabulary list."", 'The recommendation generation process must be asynchronous, showing a loading state in the UI.', ""The LLM's response must be parsed and formatted into a user-friendly recommendation card."", 'Users must be able to provide feedback (e.g., thumbs up/down) on each recommendation.', ""Users must be able to add a recommended book directly to their 'Want to Read' shelf.""]"
1343,REQ-FUNC-009,Functional,The system shall provide a user-initiated mechanism to export their personal data in a machine-readable format.,User Management,Users shall be able to request and download an export of their personal reading data.,[],"[""The process must comply with GDPR 'Right to Data Portability'.""]",[],FALSE,high,"[""An 'Export My Data' option must be available in the user's account settings."", 'Triggering the export must queue an asynchronous backend job to generate the data file.', ""Upon completion, the system must send an email to the user's registered address containing a secure, time-limited download link."", 'The download link must expire and become invalid after 24 hours.', ""The exported file must be in JSON format and contain the user's complete library and reading session history.""]"
1344,REQ-FUNC-010,Functional,The system shall display advertisements to 'Free User' tier users via the Google AdMob SDK.,Advertisements,Advertisements shall be served to Free Users via the Google AdMob SDK.,[],[],['REQ-BR-001'],FALSE,high,"['A banner ad unit must be displayed on secondary screens for Free Users.', 'A full-screen interstitial ad must be displayed after every third reading session is logged by a Free User.', 'No advertisements of any kind shall be displayed to Premium Users.', ""The application must respect the user's platform-level ad tracking consent choices (e.g., App Tracking Transparency on iOS).""]"
1345,REQ-FUNC-011,Functional,The system shall support core application functions while the device is offline and automatically synchronize data upon reconnection.,Offline Support,The application shall provide offline functionality for core features as defined in REQ-OFF-001.,[],"[""The application must use the Isar database for local data storage.""]","['REQ-FUNC-004', 'REQ-FUNC-005']",FALSE,high,"['While offline, users must be able to log new reading sessions for books already in their local library.', 'While offline, users must be able to view their entire library and reading history.', 'While offline, users must be able to move items between shelves.', 'When network connectivity is restored, the application must automatically synchronize all local changes with the backend server.', ""The synchronization mechanism must use a 'last write wins' strategy to resolve any data conflicts.""]"
1346,REQ-PERF-001,Non-Functional,The 95th percentile latency for all core backend API endpoints must be less than 200 milliseconds under nominal load.,Performance,P95 latency for all core API endpoints shall be less than 200ms (NFR-PERF-001).,"[""'Nominal load' is defined as the expected traffic during peak usage hours, up to 10,000 concurrent users.""]",[],[],FALSE,high,"['Performance tests must measure the end-to-end response time from the API Gateway to the service and back.', 'Core endpoints include user login, fetching the library, logging a session, and retrieving the dashboard.', 'The P95 latency must be monitored continuously in the production environment via CloudWatch Metrics.', 'An alarm must be triggered if the P95 latency exceeds 200ms for a sustained period of 5 minutes.']"
1347,REQ-PERF-002,Non-Functional,The application's main Dashboard screen must load all necessary data and become fully interactive within 1.5 seconds from launch on a standard 4G network.,Performance,The mobile application's main Dashboard screen shall load and become interactive in under 1.5 seconds on a standard 4G network connection (NFR-PERF-002).,[],[],[],FALSE,high,"['Testing must be performed on a mid-range device (as defined in REQ-PLAT-001) connected to a throttled 4G network.', 'The measurement begins when the user taps the app icon (for a warm start) and ends when all UI elements are rendered and responsive to touch.', 'Client-side performance monitoring (e.g., Sentry) must be used to track this metric in production.']"
1348,REQ-REL-002,Non-Functional,The system must implement resilience patterns to handle failures gracefully when communicating with critical external APIs.,Reliability,"The system shall implement resilience patterns for all critical external API integrations (LLM, Book Database, CMS).",[],[],[],FALSE,high,"['A circuit breaker pattern must be implemented for calls to the OpenAI, Google Books, and Contentful APIs.', 'If the Google Books API is unavailable, the user must be able to add a book by manually entering its title and author.', 'If the OpenAI recommendation service fails, the UI must display a user-friendly message instead of an error.', ""If the Contentful CMS is unavailable, the application must serve stale content from its local cache for the 'Tips' section.""]"
