"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TSK-INFRA-001","Define VPC and Network Topology","Create VPC with public/private subnets, NAT Gateways, and Security Groups in CDK.","Task","Sprint Backlog","Critical","devops@company.com","tech.lead@company.com","2024-05-22","4","2","infrastructure,aws-cdk,networking","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Infrastructure & DevOps","EPIC-INFRA","Reading Tracker App","WI-INFRA-001","","AWS CDK,Networking","Medium","Low","VPC created; Subnets isolated; Security groups configured","CDK synth passes; Deployed to staging","2024-05-20","2024-05-31","5%","None","AWS Account Limits","Infrastructure verification","Foundation for all stacks","Network isolation and security"
"TSK-INFRA-002","Provision Aurora Serverless v2 PostgreSQL","Implement CDK construct for Aurora Serverless cluster with Secrets Manager integration.","Task","Sprint Backlog","Critical","devops@company.com","tech.lead@company.com","2024-05-23","6.2","3","infrastructure,database,postgres","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Infrastructure & DevOps","EPIC-INFRA","Reading Tracker App","WI-INFRA-001","TSK-INFRA-001","AWS CDK,PostgreSQL","High","Medium","Aurora cluster deployed; Credentials in Secrets Manager; IAM auth enabled","Connection test successful","2024-05-20","2024-05-31","8%","Backend Team","None","Connectivity test","Private subnet only","Persistence layer"
"TSK-BE-001","Create Modular Monolith Solution Structure","Initialize .NET 8 solution with API, Application, Domain, and Infrastructure projects.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-05-21","3.2","2","backend,dotnet,architecture","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Backend Core Infrastructure","EPIC-BE-CORE","Reading Tracker App","WI-BE-001","",".NET 8,Architecture","Low","Low","Solution builds; Clean Architecture followed","CI pipeline builds solution","2024-05-20","2024-05-31","4%","None","None","Build verification","None","Codebase foundation"
"TSK-MOB-001","Scaffold Flutter App & Directory Structure","Create new Flutter project and create Feature-first folder structure.","Task","Sprint Backlog","Critical","mobile.dev@company.com","tech.lead@company.com","2024-05-21","3","2","mobile,flutter,setup","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Mobile Application Foundation","EPIC-MOB-CORE","Reading Tracker App","WI-MOB-001","","Flutter","Low","Low","App builds on iOS/Android; Folder structure correct","Runs on simulators","2024-05-20","2024-05-31","4%","None","None","Launch test","None","Mobile foundation"
"TSK-AUTH-001","Implement Google Sign-In (Mobile)","Integrate google_sign_in package and configure platform specific files.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-05-24","8","5","mobile,auth,google","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Authentication & User Identity","EPIC-AUTH","Reading Tracker App","WI-AUTH-001","TSK-MOB-001","Flutter,Native Android/iOS","Medium","Medium","Google Sign-In sheet appears; ID Token retrieved","Login successful on device","2024-05-20","2024-05-31","10%","None","Google Cloud Console","Manual device testing","Requires SHA-1 fingerprint","User acquisition"
"TSK-AUTH-002","Implement Apple Sign-In (Mobile)","Integrate sign_in_with_apple package and handle iOS capability configuration.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-05-25","6","3","mobile,auth,apple,ios","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Authentication & User Identity","EPIC-AUTH","Reading Tracker App","WI-AUTH-001","TSK-MOB-001","Flutter,iOS","Medium","Medium","Apple Sign-In works on iOS; Auth code retrieved","Login successful on iOS simulator","2024-05-20","2024-05-31","8%","None","Apple Developer Account","iOS Device testing","Requires Capabilities","iOS User acquisition"
"TSK-BE-004","Setup Auth0 JWT Authentication","Configure JWT Bearer authentication scheme with Auth0 domain and audience.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-05-24","4.8","3","backend,security,auth0","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Backend Core Infrastructure","EPIC-BE-CORE","Reading Tracker App","WI-BE-001","TSK-BE-001",".NET 8,Security","Medium","Medium","401 returned for missing token; Claims accessible","Integration test with mock JWT","2024-05-20","2024-05-31","6%","DevOps","Auth0 Tenant","Security testing","Secrets in parameter store","API Security"
"TSK-INFRA-004","Define Fargate Cluster and Task Definitions","Create ECS Cluster, Fargate Task Definitions, and IAM roles.","Task","Sprint Backlog","High","devops@company.com","tech.lead@company.com","2024-05-28","8","5","infrastructure,ecs,fargate","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Infrastructure & DevOps","EPIC-INFRA","Reading Tracker App","WI-INFRA-002","TSK-INFRA-001,TSK-INFRA-002","AWS CDK,ECS","Medium","Low","Task definition logs to CloudWatch; Roles configured","Task launch successful","2024-05-20","2024-05-31","10%","Backend Team","ECR","Deployment test","None","Compute runtime"
"TSK-BE-007","Create User Entity and EF Core Configuration","Design Domain entity for User, setup DbContext, and create initial migration.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-05-27","6.3","3","backend,database,ef-core","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Backend Core Infrastructure","EPIC-BE-CORE","Reading Tracker App","WI-BE-002","TSK-BE-001",".NET 8,EF Core","Medium","Low","User entity defined; Migration created","Database migration applied","2024-05-20","2024-05-31","8%","None","PostgreSQL","Integration test","Apply migration on deploy","User data persistence"
"TSK-INFRA-005","Configure API Gateway and Load Balancer","Setup ALB for Fargate service and API Gateway (HTTP API).","Task","Sprint Backlog","High","devops@company.com","tech.lead@company.com","2024-05-30","9.5","5","infrastructure,networking,api-gateway","Sprint 1","Establish Cloud Infrastructure and Secure User Authentication Foundation","Infrastructure & DevOps","EPIC-INFRA","Reading Tracker App","WI-INFRA-002","TSK-INFRA-004","AWS CDK,Networking","High","Medium","ALB health checks pass; API Gateway integrates via VPC Link","End-to-end curl request succeeds","2024-05-20","2024-05-31","12%","None","None","Load test","DNS propagation wait time","Public API access"
