"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Develop VPC and Networking Construct","Implement CDK construct for Multi-AZ VPC with Public/Private subnets, NAT Gateways, and Security Groups to secure the network layer.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2025-05-05","6.3","3","infrastructure,aws-cdk,networking","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","ReadTrack Mobile Platform","WI-INF-001","","TypeScript,AWS CDK,Networking","Medium","Low","VPC created with CIDR 10.0.0.0/16; Public/Private subnets in 2 AZs; NAT Gateways active","CDK synth passes; Deployed to sandbox; Network reachability tests pass","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","AWS Account Quotas","Infrastructure verification tests","Deploy to Dev environment first","Foundation for all secure connectivity"
"TASK-INF-002","Configure ALB and Fargate Service Definition","Define Application Load Balancer and ECS Fargate Cluster/Service with Auto-scaling policies.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2025-05-08","8.7","5","infrastructure,ecs,fargate","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","ReadTrack Mobile Platform","WI-INF-001","TASK-INF-001","AWS CDK,ECS,IAM","Medium","Low","ALB provisioned; HTTPS listener active; Fargate Task Definition defined","Service stabilizes; Health checks pass","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","Backend Team (for health check path)","None","Deployment verification","Requires dummy container until backend is ready","Enables hosting of the backend API"
"TASK-BE-001","Scaffold .NET 8 Modular Monolith","Initialize solution structure, Serilog, OpenTelemetry, and Global Exception Handling.","Task","Sprint Backlog","Critical","backend.lead@company.com","tech.lead@company.com","2025-05-03","6","3","backend,dotnet,architecture","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Core Backend Services (.NET)","EPIC-BACKEND","ReadTrack Mobile Platform","WI-BE-001","",".NET 8,Architecture","Low","Low","Solution compiles; Logs output to console; Health check returns 200","Architecture tests pass; Code pushed to repo","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","None","Unit tests for shared kernel","None","Core framework for all backend development"
"TASK-BE-002","Implement Auth0 JWT Middleware","Configure JWT Bearer authentication, validate tokens against Auth0 JWKS, and map claims.","Task","Sprint Backlog","Critical","backend.lead@company.com","tech.lead@company.com","2025-05-07","8.3","5","backend,security,auth0","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Core Backend Services (.NET)","EPIC-BACKEND","ReadTrack Mobile Platform","WI-BE-001","TASK-BE-001","ASP.NET Core,OAuth/OIDC","Medium","Low","Validates JWT signature; Rejects invalid tokens; Maps roles","Integration tests with mock tokens pass","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","Frontend Team (for token format)","Auth0 Tenant","Integration tests","Requires Auth0 config in appsettings","Secures the API layer"
"TASK-BE-003","Implement User Domain & Persistence","Design User entity (EF Core), migration, and idempotent CreateUser logic.","Task","Sprint Backlog","High","backend.dev@company.com","backend.lead@company.com","2025-05-10","8","5","backend,ef-core,domain","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Core Backend Services (.NET)","EPIC-BACKEND","ReadTrack Mobile Platform","WI-BE-001","TASK-BE-001","EF Core,C#","Medium","Low","User entity defined; Migration created; Idempotency verified","Integration tests pass against LocalDB","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","None","Unit and Integration tests","Run migrations on deploy","Enables user data storage"
"TASK-MOB-001","Define Isar Collections & Schema","Create Isar collections for Book, Session, User and define indexes.","Task","Sprint Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2025-05-06","6","3","mobile,flutter,database","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Mobile Application (Flutter)","EPIC-MOBILE","ReadTrack Mobile Platform","WI-MOB-002","","Dart,Isar","Low","Low","Collections generated; Relationships defined; Schema matches backend","Unit tests pass; Schema verified","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","Backend Team (schema alignment)","None","Unit tests","None","Foundation for offline capability"
"TASK-MOB-003","Implement Isar Database Provider","Setup Riverpod provider for DB instance and handle schema migrations.","Task","Sprint Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2025-05-12","11.8","5","mobile,riverpod,state","Sprint 1","Establish secure cloud infrastructure and user authentication foundation","Mobile Application (Flutter)","EPIC-MOBILE","ReadTrack Mobile Platform","WI-MOB-002","TASK-MOB-001","Dart,Riverpod","Medium","Medium","DB opens async; Provider manages singleton; Migrations handled","Manual verification on device","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","None","Integration tests","None","Enables data access in UI"
"TASK-BE-006","Implement Library Domain & EF Configuration","Define LibraryItem and ReadingSession entities with 1:N relationships.","Task","Sprint Backlog","Critical","backend.dev@company.com","backend.lead@company.com","2025-05-16","6","3","backend,ef-core,domain","Sprint 2","Deliver core reading tracking value with offline-first capabilities","Core Backend Services (.NET)","EPIC-BACKEND","ReadTrack Mobile Platform","WI-BE-002","TASK-BE-003","EF Core,Domain Design","Medium","Low","Entities defined; EF Migration created; Indexes added","Code review passed; Migration applied","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","None","None","Unit tests","None","Core data structure for app"
"TASK-BE-007","Implement Google Books API Proxy","Create service to proxy Google Books search with Polly resilience policies.","Task","Sprint Backlog","High","backend.lead@company.com","tech.lead@company.com","2025-05-20","8.3","5","backend,integration,polly","Sprint 2","Deliver core reading tracking value with offline-first capabilities","Core Backend Services (.NET)","EPIC-BACKEND","ReadTrack Mobile Platform","WI-BE-002","","C#,Polly,HTTP","Medium","Low","Search returns metadata; Circuit breaker active; Retries configured","Integration test with WireMock pass","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","None","Google Books API Key","Integration tests","Add API key to secrets","Enables book search feature"
"TASK-INF-004","Provision Aurora Serverless v2 PostgreSQL","Define Aurora Cluster, Secret Manager rotation, and Security Groups.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2025-05-18","8.3","5","infrastructure,database,aurora","Sprint 2","Deliver core reading tracking value with offline-first capabilities","Cloud Infrastructure & DevOps","EPIC-INFRA","ReadTrack Mobile Platform","WI-INF-002","TASK-INF-001","AWS CDK,PostgreSQL","Medium","Medium","Aurora v2 provisioned in private subnet; Secrets Manager rotation active","Connectivity test from Bastion passes","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","Backend Team (connection strings)","None","Connectivity tests","Initial provision takes time","Persistent data storage"
