"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Develop Network & Compute CDK Stacks","Define VPC, Public/Private Subnets, NAT Gateways, ECS Cluster, and ALB using AWS CDK.","Task","Sprint Backlog","Critical","devops.lead@project.com","tech.lead@project.com","2025-05-05","12.7","5","devops,infrastructure,aws-cdk","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Infrastructure & DevOps","EPIC-005","Reading Tracker App","US-106","","AWS CDK,TypeScript,Networking","Medium","Low","Successful `cdk deploy`; VPC has correct subnet isolation; ECS cluster ready","Infrastructure deployed to Staging; Drift detection enabled","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","20%","Backend team for resource sizing","AWS Quota Increases","Infrastructure integration tests","Bootstrap CDK environment first","Foundation for all app services"
"TASK-INFRA-002","Develop Data Persistence CDK Stacks","Provision Aurora Serverless v2, OpenSearch Serverless, S3, and Redis infrastructure.","Task","Sprint Backlog","Critical","devops.lead@project.com","tech.lead@project.com","2025-05-07","14.3","5","devops,database,aws-cdk","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Infrastructure & DevOps","EPIC-005","Reading Tracker App","US-106","TASK-INFRA-001","AWS CDK,Database","Medium","Medium","DB credentials in Secrets Manager; Security Groups allow ECS access only","Databases accessible from Bastion/ECS; Encryption validated","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","25%","Backend team for schema planning","None","Connectivity tests","Ensure deletion protection enabled for Prod","Persistent storage for user data"
"TASK-DEVOPS-001","Configure GitHub Actions Backend Pipeline","Build .NET, Run Tests, Docker Build, ECR Push, CDK Deploy workflow.","Task","Sprint Backlog","High","devops.lead@project.com","tech.lead@project.com","2025-05-10","10.3","3","devops,ci-cd,github-actions","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Infrastructure & DevOps","EPIC-005","Reading Tracker App","US-106","TASK-INFRA-001","GitHub Actions,Docker","Medium","Low","Pipeline green on main branch; Infrastructure updates applied; New container deployed","Automated deployment to Staging on merge","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","Backend team for build scripts","None","Pipeline execution test","Configure OIDC for AWS access","Accelerates delivery cycle"
"TASK-AUTH-001","Configure Auth0 & Social Connection Providers","Set up Auth0 tenant, configure Google/Apple connections, and define API audience.","Task","Sprint Backlog","Critical","backend.lead@project.com","product.owner@project.com","2025-05-03","4.5","2","security,auth0,config","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Core Authentication & User Management","EPIC-001","Reading Tracker App","US-002","","Auth0,OAuth 2.0,Security","Low","Low","Auth0 tenant created; Client IDs generated; JWT structure defined","Config documented and keys stored in secrets manager","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","10%","Mobile team for bundle IDs","Apple/Google Developer Consoles","Manual login flow verification","None","Enables user identity management"
"TASK-AUTH-002","Implement Backend Token Exchange Endpoint","Create `POST /api/v1/auth/social` to validate ID tokens and issue session JWTs.","Task","Sprint Backlog","Critical","backend.lead@project.com","tech.lead@project.com","2025-05-08","10.5","5","backend,dotnet,auth","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Core Authentication & User Management","EPIC-001","Reading Tracker App","US-002","TASK-AUTH-001",".NET 8,ASP.NET Core Identity","Medium","Medium","Valid token yields 200 OK; User auto-created in DB if new","Unit tests pass; Integration tests with mock Auth0 pass","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","20%","None","Auth0 API","Token validation testing","Deploy to Auth Service","Secures API access"
"TASK-LIB-001","Implement Google Books Proxy Client with Resilience","Create .NET typed HttpClient for Google Books API with Polly policies.","Task","Sprint Backlog","High","backend.lead@project.com","tech.lead@project.com","2025-05-12","8.5","3","backend,integration,resilience","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Library Management & Offline Synchronization","EPIC-002","Reading Tracker App","US-037","",".NET 8,Polly","Medium","Medium","Retries on 5xx; Circuit breaker logic; DTO mapping","Resilience policies verified via tests","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","None","Google Books API","Mock external API failures","None","Enables book search functionality"
"TASK-AUTH-003","Implement Mobile Google Sign-In & Token Storage","Integrate `google_sign_in` package and secure storage in Flutter.","Task","Sprint Backlog","High","mobile.dev@project.com","tech.lead@project.com","2025-05-09","8.5","3","frontend,flutter,auth","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Core Authentication & User Management","EPIC-001","Reading Tracker App","US-002","TASK-AUTH-001","Flutter,Dart,Native Mobile","Medium","Low","Native sheet triggers; Tokens stored securely in Keychain/Keystore","Verified on iOS and Android emulators/devices","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","None","None","Device testing","Check SHA-1 fingerprints","Allow users to login"
"TASK-SYNC-001","Design & Implement Isar Local Database Schema","Define Isar collections for Book, Session, Goal including sync metadata.","Task","Sprint Backlog","High","mobile.dev@project.com","tech.lead@project.com","2025-05-12","6.3","3","frontend,flutter,database","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Library Management & Offline Synchronization","EPIC-002","Reading Tracker App","US-101","","Flutter,NoSQL","Medium","Low","Schema compiles; Indexes defined; Sync fields present","Code generated and verified locally","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","Backend team for field alignment","None","Unit tests for schema","None","Foundation for offline capability"
"TASK-LIB-002","Implement Search Results Caching Layer","Implement Redis caching using `IDistributedCache` for search queries.","Task","Sprint Backlog","Medium","backend.lead@project.com","tech.lead@project.com","2025-05-14","4","2","backend,performance,redis","Sprint 1","Establish infrastructure pipelines, secure authentication, and core library book search functionality.","Library Management & Offline Synchronization","EPIC-002","Reading Tracker App","US-037","TASK-LIB-001",".NET 8,Redis","Low","Low","Cache hit < 20ms; 24h expiry; Key normalization","Integration tests verify cache behavior","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","5%","None","Redis","Performance test","None","Optimizes API usage costs"
"TASK-SYNC-003","Implement Backend Sync API (Batch Processing)","Create `POST /sync` to accept batch changes with Last Write Wins logic.","Task","Planned","Critical","backend.lead@project.com","tech.lead@project.com","2025-05-20","16.3","8","backend,sync,algorithm","Sprint 2","Implement robust offline data synchronization and the monetization engine.","Library Management & Offline Synchronization","EPIC-002","Reading Tracker App","US-101","TASK-SYNC-001",".NET 8,EF Core,SQL","High","High","Atomic batch processing; Returns new server records; Handles 1000+ items","Performance benchmark passed; Conflict resolution tests passed","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","30%","Mobile team","None","Conflict scenario simulation","None","Enables data consistency"
