"task_id","title","description","type","status","priority","assignee","estimated_hours","sprint","epic_id","dependencies","skills_required","risk_level","acceptance_criteria"
"TASK-INFRA-002-01","Define RDS Subnet Groups and Security Groups","Create isolated database subnets and define Security Groups allowing ingress only from the Fargate service security group on port 5432.","Task","Sprint Backlog","Critical","devops.engineer@company.com","2","Sprint 1","EPIC-INFRA","VPC Definition","AWS CDK, Networking","Low","DB Subnet Group covering 3 AZs; Security Group allows ingress only from App SG"
"TASK-INFRA-002-02","Configure Aurora Serverless v2 Cluster Construct","Define the DatabaseCluster using ServerlessV2 engine mode. Configure scaling range (0.5 ACU to 16 ACU) and IAM authentication.","Task","Sprint Backlog","Critical","devops.engineer@company.com","5.2","Sprint 1","EPIC-INFRA","TASK-INFRA-002-01","AWS CDK, PostgreSQL","Medium","Cluster defined with ServerlessV2; Min ACU 0.5; Max ACU 16; IAM Auth enabled"
"TASK-INFRA-002-03","Implement Secrets Manager & Credential Rotation","Create a DatabaseSecret attached to the cluster. Configure automatic rotation using a standard Lambda rotator.","Task","Sprint Backlog","High","devops.engineer@company.com","4","Sprint 1","EPIC-INFRA","TASK-INFRA-002-02","AWS CDK, IAM","Low","Secret created; Rotation schedule configured; Fargate role permission granted"
"TASK-BE-004-01","Design Sync API Contract & DTOs","Define the JSON payload structure for batch synchronization, including client timestamps for conflict resolution.","Task","Sprint Backlog","Critical","backend.lead@company.com","3.2","Sprint 1","EPIC-BACKEND","None","API Design, C#","Medium","OpenAPI spec defined; DTOs support batch ops; Timestamp field included"
"TASK-MOB-004-01","Implement Connectivity Monitoring Service","Create a service using connectivity_plus to listen for network state changes and expose a stream of connection status.","Task","Sprint Backlog","High","mobile.dev@company.com","3.2","Sprint 1","EPIC-MOBILE","None","Dart, Flutter","Low","Detects Online/Offline; Exposes Riverpod provider; Debounces state changes"
"TASK-MON-001-01","Implement Apple App Store JWS Webhook Verification","Implement logic to parse and validate the JSON Web Signature (JWS) from Apple Server Notifications V2.","Task","Sprint Backlog","High","backend.dev@company.com","10.3","Sprint 1","EPIC-MONETIZATION","None","C#, Cryptography","High","Validates cert chain; Verifies signature; Extracts notification type"
"TASK-BE-004-02","Implement ReadingSession Domain Logic","Create the ReadingSession entity, Value Objects, and Domain Events. Configure EF Core mapping.","Task","Sprint Backlog","High","backend.lead@company.com","5.2","Sprint 2","EPIC-BACKEND","TASK-BE-004-01","C#, DDD, EF Core","Low","Entity encapsulated; EF Core Config implemented; Migration created"
"TASK-BE-004-03","Implement Last-Write-Wins Conflict Resolution Strategy","Implement logic to compare incoming batch items against existing DB records using ClientTimestamp.","Task","Sprint Backlog","Critical","backend.lead@company.com","8","Sprint 2","EPIC-BACKEND","TASK-BE-004-02","C#, Algorithms","High","Older timestamp ignored; Newer overwrites; Logic isolated and testable"
"TASK-BE-004-04","Implement Batch Sync Command Handler","Create MediatR command handler to process the batch sync request inside a transaction.","Task","Sprint Backlog","High","backend.lead@company.com","6.3","Sprint 2","EPIC-BACKEND","TASK-BE-004-03","C#, MediatR, SQL","Medium","Transactional integrity; Idempotency supported; Returns updated state"
"TASK-MOB-004-02","Implement Pending Items Queue Logic","Extend Isar repositories to query for items with syncStatus == pending. Gather into batch payload.","Task","Sprint Backlog","High","mobile.dev@company.com","5.2","Sprint 2","EPIC-MOBILE","TASK-BE-004-01","Dart, Isar","Medium","Queries unsynced items; Constructs batch DTO; Handles large datasets"
"TASK-MOB-004-03","Implement Synchronization Orchestrator","Create the main SyncService that triggers on connectivity, calls queue logic, and sends data via API.","Task","Sprint Backlog","Critical","mobile.dev@company.com","10","Sprint 2","EPIC-MOBILE","TASK-MOB-004-01,TASK-MOB-004-02","Dart, Async","Medium","Triggers on reconnect; Updates local Isar to synced on 200 OK; Handles 401"
"TASK-MON-001-02","Implement Google Play Real-time Notification Handler","Implement logic to handle Pub/Sub messages from Google Play. Decode Base64 data and verify token.","Task","Sprint Backlog","High","backend.dev@company.com","8","Sprint 2","EPIC-MONETIZATION","None","C#, Google APIs","Medium","Decodes Pub/Sub; Calls Google API; Handles test notifications"
"TASK-BE-004-05","Implement Integration Tests for Sync Flow","Develop integration tests using TestContainers (Postgres) to verify full sync lifecycle.","Task","Sprint Backlog","Medium","backend.lead@company.com","10","Sprint 3","EPIC-BACKEND","TASK-BE-004-04","C#, xUnit, Docker","Medium","Coverage for create/update/conflict; Runs against real Postgres; Concurrency tested"
"TASK-MOB-004-04","Implement Exponential Backoff & Retry Logic","Enhance SyncService to handle transient network failures with exponential backoff strategy.","Task","Sprint Backlog","Medium","mobile.dev@company.com","6","Sprint 3","EPIC-MOBILE","TASK-MOB-004-03","Dart","Medium","Retries failed requests; Stops after max attempts; No retry on 4xx"
"TASK-MON-001-03","Implement Subscription State Management Service","Logic to update user role based on validated webhook events (RENEWAL, EXPIRATION, CANCELLATION).","Task","Sprint Backlog","Critical","backend.dev@company.com","6.3","Sprint 3","EPIC-MONETIZATION","TASK-MON-001-01,TASK-MON-001-02","C#, EF Core","High","Updates user role in DB; Logs audit event; Handles out-of-order events"
"TASK-MON-001-04","Configure SQS Dead Letter Queue & Retry Policy","Infrastructure code to ensure failed webhooks are retried and eventually moved to a DLQ.","Task","Sprint Backlog","High","devops.engineer@company.com","4","Sprint 3","EPIC-MONETIZATION","None","C#, AWS SDK","Low","Retries 3 times; Moves to DLQ; CloudWatch alarm configured"
"TASK-MON-001-05","Integration Testing for Webhook Flow","End-to-end integration tests mocking Apple/Google payloads hitting the API and verifying DB updates.","Task","Sprint Backlog","High","qa.engineer@company.com","12","Sprint 3","EPIC-MONETIZATION","TASK-MON-001-03","C#, xUnit","Medium","Coverage for Renew/Expire; Verifies idempotency"
