"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Network & Aurora DB Stack Provisioning","Define VPC, Subnets, and Aurora Serverless v2 Postgres cluster with Secrets Manager via CDK.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-05-24","10.3","5","infrastructure,aws,cdk,database","Sprint 1","Establish Cloud Foundation and Core Connectivity","Cloud Infrastructure (AWS CDK)","EPIC-INFRA","ReadTrack Platform","TECH-INFRA-001","","AWS CDK,TypeScript,Database","Medium","High","VPC created; Aurora cluster deployed with min ACU 0.5; Secrets Manager configured","CDK deploy successful; Connection verified from local env","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","100%","Backend team for connection strings","AWS Account Quotas","Infrastructure verification tests","First deployment sets up the VPC peering","Foundation for all data persistence"
"TASK-INFRA-002","Compute Stack (ECS Fargate & API Gateway)","Define ECS Cluster, Fargate Service, ALB, and HTTP API Gateway integration.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-05-27","8.2","3","infrastructure,aws,docker","Sprint 1","Establish Cloud Foundation and Core Connectivity","Cloud Infrastructure (AWS CDK)","EPIC-INFRA","ReadTrack Platform","TECH-INFRA-001","TASK-INFRA-001","AWS CDK,Docker,Networking","Medium","Medium","ECS Cluster created; ALB routes traffic; Auto-scaling defined","CDK deploy successful; Health check endpoint reachable","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","80%","Backend team for container specs","None","Reachability tests","Requires dummy container for initial service creation","Host for backend API services"
"TASK-BE-001",".NET Solution & MediatR Pipeline Setup","Create solution with src/Modules structure, configure MediatR, and implement Global Exception Handler.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-05-22","6.3","3","backend,dotnet,architecture","Sprint 1","Establish Cloud Foundation and Core Connectivity","Backend Foundation (.NET Modular Monolith)","EPIC-BE-CORE","ReadTrack Platform","TECH-BE-001","",".NET 8,C#,Architecture","Medium","Low","Modular structure compiles; MediatR works; Exception middleware returns JSON","Solution builds; Unit test project created","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","100%","None","None","Unit tests for middleware","None","Core backend application structure"
"TASK-BE-002","Auth0 JWT Middleware & RBAC Policies","Configure JWT Bearer Auth, validate tokens from Auth0, and implement RBAC policies.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-05-24","5.2","3","backend,security,auth0","Sprint 1","Establish Cloud Foundation and Core Connectivity","Backend Foundation (.NET Modular Monolith)","EPIC-BE-CORE","ReadTrack Platform","TECH-BE-001","TASK-BE-001",".NET 8,Security,OAuth2","Medium","Low","JWT validation logic working; Policies for Free/Premium created","Integration tests passing with mock tokens","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","90%","Mobile team for token format","Auth0 Tenant Config","Security integration tests","Update appsettings with Auth0 domain","Secures API endpoints"
"TASK-MOB-001","Flutter Project Scaffolding & Linting","Initialize Flutter project, configure analysis_options.yaml, and setup Riverpod.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-05-22","3.2","1","mobile,flutter,setup","Sprint 1","Establish Cloud Foundation and Core Connectivity","Mobile Client Foundation (Flutter)","EPIC-MOB-CORE","ReadTrack Platform","US-MOB-001","","Flutter,Dart","Low","Low","Project compiles iOS/Android; 0 lint errors; ProviderScope setup","Repo initialized and pushed","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","100%","None","None","Build verification","None","Mobile codebase foundation"
"TASK-MOB-002","Theme System & Dynamic Type","Implement AppTheme class, light/dark color palettes, and text scaling support.","Task","Sprint Backlog","Medium","mobile.dev@company.com","product.owner@company.com","2024-05-24","5.3","2","mobile,flutter,ui","Sprint 1","Establish Cloud Foundation and Core Connectivity","Mobile Client Foundation (Flutter)","EPIC-MOB-CORE","ReadTrack Platform","US-MOB-001","TASK-MOB-001","Flutter,Accessibility","Medium","Low","Theme toggle works; Text scales with OS; WCAG 2.1 compliant","Widget tests for theming pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","80%","Design team for tokens","None","Visual regression tests","None","Accessibility compliance"
"TASK-MOB-003","Isar Schema Definition & Local Repository","Define Isar collections (User, LibraryItem, ReadingSession, SyncQueue) and implement repository pattern.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-05-28","6.3","3","mobile,database,isar","Sprint 1","Establish Cloud Foundation and Core Connectivity","Mobile Client Foundation (Flutter)","EPIC-MOB-CORE","ReadTrack Platform","US-DAT-001","TASK-MOB-001","Flutter,Isar,NoSQL","High","Medium","Schemas generated; CRUD works; Repositories abstract data source","Unit tests for repositories pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","80%","Backend team for schema alignment","None","Local DB integration tests","None","Enables offline capability"
"TASK-BE-004","Google Books Proxy Service & Caching","Implement GoogleBooksService with Polly retry policies and Redis output caching.","Task","Sprint Backlog","Medium","backend.dev@company.com","product.owner@company.com","2024-05-28","6.3","3","backend,integration,redis","Sprint 1","Establish Cloud Foundation and Core Connectivity","Backend Foundation (.NET Modular Monolith)","EPIC-BE-CORE","ReadTrack Platform","US-LIB-001","TASK-BE-001",".NET 8,Redis,Resilience Patterns","Medium","Medium","Proxies requests; Polly handles 503s; Redis caches results","Integration tests with mock API pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","70%","None","Google Books API","Resilience testing","Redis connection string required","Protected and performant book search"
"TASK-OPS-001","Backend CI/CD Pipeline (GitHub Actions)","Create workflow to build .NET Docker image, run tests, push to ECR, and deploy CDK stack.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-05-29","8","3","devops,cicd,github-actions","Sprint 1","Establish Cloud Foundation and Core Connectivity","DevOps & Observability","EPIC-DEVOPS","ReadTrack Platform","US-OPS-001","TASK-INFRA-002","GitHub Actions,Docker,AWS","Medium","Low","Pipeline triggers on push; Tests block deploy; Service updates","Successful end-to-end deployment triggered by commit","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","80%","Backend team for build steps","GitHub Actions Runners","Pipeline execution verification","OIDC trust policy config required","Automated delivery pipeline"
"TASK-OPS-002","Mobile CI/CD Pipeline Setup","Create workflow to lint, test, and build Flutter IPA/APK artifacts.","Task","Sprint Backlog","Medium","devops.lead@company.com","tech.lead@company.com","2024-05-30","5.2","2","devops,cicd,mobile","Sprint 1","Establish Cloud Foundation and Core Connectivity","DevOps & Observability","EPIC-DEVOPS","ReadTrack Platform","US-OPS-001","TASK-MOB-001","GitHub Actions,Flutter","Medium","Low","Lints and tests run; Artifacts uploaded to Releases","Pipeline run successful","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","70%","Mobile team for signing keys","None","Artifact installation test","Signing keys in GitHub Secrets","Automated mobile builds"
"TASK-BE-005","Book Search Controller & Unit Tests","Expose search endpoint via Controller and write unit tests mocking the HttpMessageHandler.","Task","Sprint Backlog","Medium","backend.dev@company.com","product.owner@company.com","2024-05-30","3.2","2","backend,api","Sprint 1","Establish Cloud Foundation and Core Connectivity","Backend Foundation (.NET Modular Monolith)","EPIC-BE-CORE","ReadTrack Platform","US-LIB-001","TASK-BE-004",".NET 8,Unit Testing","Low","Low","GET /search works; Validation active; Tests cover success/error","Endpoint callable via Swagger; tests pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","80%","Mobile team for contract","None","Controller unit tests","None","Exposes book search to client"
"TASK-OPS-004","Centralized Logging & Tracing Config","Configure Serilog to push to CloudWatch and OpenTelemetry for X-Ray traces.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2024-05-31","3.8","2","backend,observability,logging","Sprint 1","Establish Cloud Foundation and Core Connectivity","DevOps & Observability","EPIC-DEVOPS","ReadTrack Platform","US-OPS-001","TASK-BE-001",".NET 8,Observability","Low","Low","Logs in CloudWatch; Traces in X-Ray; Correlation IDs present","Log flow verified in AWS Console","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-20","2024-05-31","60%","DevOps for IAM roles","CloudWatch / X-Ray","Verification in AWS Console","None","Production visibility"
"TASK-MOB-004","Sync Queue & Conflict Logic Implementation","Implement SyncService to queue offline commands and process them with 'last-write-wins' logic.","Task","Backlog","Critical","mobile.dev@company.com","tech.lead@company.com","2024-06-05","12.7","5","mobile,offline,sync","Sprint 2","Deliver Offline Sync, Search UI, and AI Recommendations","Mobile Client Foundation (Flutter)","EPIC-MOB-CORE","ReadTrack Platform","US-DAT-001","TASK-MOB-003","Flutter,Algorithms,State Management","High","High","Queue persists; Sync triggers on reconnect; Conflicts resolved","Unit tests for conflict resolution pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-03","2024-06-14","100%","Backend team for API behavior","None","Complex state testing","None","Core offline functionality"
"TASK-INFRA-003","Async Stack (SQS, Lambda, EventBridge)","Provision SQS queues (Sync, Embeddings) with DLQs and Lambda triggers.","Task","Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-06-04","5.2","3","infrastructure,aws,serverless","Sprint 2","Deliver Offline Sync, Search UI, and AI Recommendations","Cloud Infrastructure (AWS CDK)","EPIC-INFRA","ReadTrack Platform","TECH-INFRA-001","TASK-INFRA-001","AWS CDK,Serverless","Medium","Low","Queues created with DLQ; Lambda triggers wired; IAM scoped","CDK deploy successful","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-03","2024-06-14","90%","Backend team for queue names","None","Infrastructure tests","None","Enables background processing"
"TASK-BE-006","User Context Embedding Job (Hangfire)","Create background job to batch process user history, generate OpenAI embeddings, and index in OpenSearch.","Task","Backlog","High","backend.dev@company.com","product.owner@company.com","2024-06-06","12.7","5","backend,ai,opensearch,hangfire","Sprint 2","Deliver Offline Sync, Search UI, and AI Recommendations","AI Recommendations Engine","EPIC-FEAT-AI","ReadTrack Platform","US-AI-001","TASK-INFRA-003",".NET 8,OpenSearch,Hangfire","High","High","Job processes history; Embeddings generated; Vectors indexed","Job runs end-to-end; Vectors searchable","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-03","2024-06-14","100%","DevOps for OpenSearch config","OpenAI API, OpenSearch Serverless","Integration tests for job","OpenAI Key required","Enables personalized AI"
"TASK-MOB-006","Book Search UI & State Management","Implement search screen with text input debouncing (300ms) and results list view.","Task","Backlog","Medium","mobile.dev@company.com","product.owner@company.com","2024-06-07","10","3","mobile,frontend,riverpod","Sprint 2","Deliver Offline Sync, Search UI, and AI Recommendations","Library Management Features","EPIC-FEAT-LIB","ReadTrack Platform","US-LIB-001","TASK-MOB-001,TASK-BE-005","Flutter,Riverpod","Medium","Low","Input debounced; Loading/Error states; Results displayed","UI verified on emulator","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-03","2024-06-14","90%","Backend for API contract","None","Widget tests","None","User library population"
