"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Define VPC Network Topology in CDK","Implement `NetworkStack` with public/private subnets across 2 AZs, NAT Gateways, and VPC endpoints for S3/DynamoDB.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-05-24","6.3","3","infrastructure,cdk,networking","Sprint 1","Establish Cloud Infrastructure and Application Shells","Infrastructure & Operations","EPIC-INFRA","ReadTrack Platform","US-INF-001","","AWS CDK,TypeScript,Networking","Medium","Low","VPC created with CIDR 10.0.0.0/16; Public and Private subnets correctly tagged; NAT Gateways provisioned","CDK deploy succeeds; Network connectivity verified","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","None","AWS Account Limits","Infrastructure integration tests","First stack to deploy","Foundation for all other resources"
"TASK-INF-002","Provision Aurora Serverless v2 PostgreSQL","Implement `DatabaseStack` creating the Aurora Cluster, generating credentials in Secrets Manager, and configuring Security Groups.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-05-27","8","5","infrastructure,database,aurora","Sprint 1","Establish Cloud Infrastructure and Application Shells","Infrastructure & Operations","EPIC-INFRA","ReadTrack Platform","US-INF-001","TASK-INF-001","AWS CDK,PostgreSQL","Medium","Medium","Aurora Cluster Active; Secret created in Secrets Manager; Access strictly limited to private subnets","Database reachable from private subnet; Secrets rotation policy active","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","Backend Team for schema planning","None","Connectivity test from bastion/lambda","Enable deletion protection in prod","Core data persistence layer"
"TASK-BE-001","Initialize .NET Solution & Projects","Create Solution, Host project, and Module projects. Implement `Shared.Kernel` with Entity base classes, Value Object, and Result pattern.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-05-24","5.2","3","backend,dotnet,architecture","Sprint 1","Establish Cloud Infrastructure and Application Shells","Backend Core & Modular Monolith","EPIC-BE-CORE","ReadTrack Platform","WI-BE-001","",".NET 8,Architecture","Medium","Low","Solution compiles; Dependencies managed centrally; Result pattern implemented and tested","CI pipeline builds solution; Unit tests pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","None","None","Unit testing of kernel","None","Enforces architectural boundaries"
"TASK-MOB-001","Flutter Project Setup & ThemeProvider","Initialize Flutter app with Flavors. Implement `ThemeProvider` using Riverpod. Define `ThemeData`.","Task","Sprint Backlog","Must Have","mobile.dev@company.com","product.owner@company.com","2024-05-24","6.3","3","mobile,flutter,ui","Sprint 1","Establish Cloud Infrastructure and Application Shells","Mobile Client Foundation","EPIC-MOB-CORE","ReadTrack Platform","US-SYS-001","","Flutter,Riverpod","Low","Low","App runs on iOS/Android simulators; Flavor banners visible; Theme toggle works visually","Code reviewed; Runs on physical device","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","None","None","Widget tests for theme toggle","Requires signing config for flavors","Mobile foundation and accessibility"
"TASK-BE-002","Implement MediatR Pipeline Behaviors","Create generic behaviors for Validation (FluentValidation) and Logging. Register MediatR in the Host.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-05-27","4","2","backend,mediatr,pipeline","Sprint 1","Establish Cloud Infrastructure and Application Shells","Backend Core & Modular Monolith","EPIC-BE-CORE","ReadTrack Platform","WI-BE-001","TASK-BE-001",".NET 8,MediatR","Medium","Low","Commands trigger validation before handler; Requests logged automatically; Unit tests for pipeline behavior","Pipeline tests passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","None","None","Integration test of pipeline","None","Standardized request processing"
"TASK-MOB-002","Isar Schema Definition","Define Isar models for `User`, `LibraryItem`, `ReadingSession`. Implement TypeAdapters and run code generation.","Task","Sprint Backlog","Critical","mobile.dev@company.com","tech.lead@company.com","2024-05-28","6.3","3","mobile,database,isar","Sprint 1","Establish Cloud Infrastructure and Application Shells","Mobile Client Foundation","EPIC-MOB-CORE","ReadTrack Platform","US-SYS-002","TASK-MOB-001","Dart,Isar","Medium","Medium","Models compile with isar_generator; CRUD unit tests pass; Indexes defined on ID and sync fields","Schema verified; DB opens on device","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","None","None","Local DB CRUD tests","Careful with schema versioning in future","Enables offline capability"
"TASK-BE-003","Global Exception Middleware Implementation","Create middleware to catch unhandled exceptions, map DomainExceptions to ProblemDetails (RFC 7807), and log errors.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-05-30","5","3","backend,error-handling","Sprint 1","Establish Cloud Infrastructure and Application Shells","Backend Core & Modular Monolith","EPIC-BE-CORE","ReadTrack Platform","WI-BE-002","TASK-BE-001",".NET 8","Low","Low","All exceptions return JSON ProblemDetails; 500 errors logged as Critical; 400 errors mapped from ValidationException","Middleware test coverage > 90%","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","None","None","Integration tests triggering exceptions","None","Consistent API error responses"
"TASK-INF-003","Configure Fargate Cluster & ALB","Implement `ApiServiceStack` with ECS Cluster, Application Load Balancer, and generic Task Definition placeholder.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-06-03","9.7","5","infrastructure,ecs,fargate","Sprint 1","Establish Cloud Infrastructure and Application Shells","Infrastructure & Operations","EPIC-INFRA","ReadTrack Platform","US-INF-001","TASK-INF-001","AWS CDK,ECS,Docker","Medium","Medium","ECS Cluster active; ALB listening on HTTP/HTTPS; Health check path configured","Sample container deployed and reachable","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-04","100%","Backend Team for Dockerfile","None","Load balancer reachability test","Setup dummy healthcheck","Application runtime environment"
"TASK-AUTH-001","Backend JWT Validation Service","Implement JWT Bearer authentication in .NET. Validate Auth0 issuer/audience. Extract claims to `ICurrentUser`.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-06-07","5.2","3","backend,security,auth","Sprint 2","Enable Authentication and Core Integrations","Identity & User Management","EPIC-AUTH","ReadTrack Platform","US-SEC-001","TASK-BE-001",".NET 8,Security","Medium","High","Valid token returns 200; Expired/Invalid token returns 401; User ID accessible in Domain layer","Auth0 integration verified","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-18","100%","DevOps for secrets","Auth0 Tenant","Integration tests with mock tokens","Needs Auth0 config in SSM","Secures the API"
"TASK-AUTH-002","Mobile Social Sign-In Implementation","Integrate `google_sign_in` and `sign_in_with_apple`. Implement secure storage for tokens. Create Auth Interceptor for Dio.","Task","Sprint Backlog","Critical","mobile.dev@company.com","product.owner@company.com","2024-06-10","12.3","5","mobile,auth,flutter","Sprint 2","Enable Authentication and Core Integrations","Identity & User Management","EPIC-AUTH","ReadTrack Platform","US-SEC-001","TASK-MOB-001","Flutter,Native Mobile","Medium","Medium","Social login returns tokens; Tokens stored in Keychain/Keystore; 401 triggers refresh logic","Login works on physical iOS/Android devices","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-18","100%","None","Apple/Google Dev Consoles","Manual auth flow testing","Requires correct signing keys","User onboarding"
