"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Develop VPC & Network Stack L3 Construct","Implement a reusable CDK L3 construct for a VPC with public/private subnets, NAT Gateways, and strict Security Groups.","Task","Sprint Backlog","Critical","devops.eng@readtrack.com","tech.lead@readtrack.com","2025-05-05","5.2","3","infrastructure,aws-cdk,networking","Sprint 1","Establish secure cloud infrastructure and local mobile foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","ReadTrack","WI-INFRA-001","","TypeScript,AWS CDK","Medium","Low","VPC created with 10.0.0.0/16 CIDR; 3 AZs; Private subnets isolated","CDK synth passes; cdk-nag security scan clean; Deployed to Dev","2025-05-01","2025-05-14","100%","Backend Lead for CIDR planning","AWS Account Quotas","Infrastructure verification test","Bootstrap CDK environment first","Secure networking foundation"
"TASK-INFRA-002","Provision ECS Cluster & Fargate Service Definition","Define the ECS Cluster, Fargate Task Definitions, and ALB with listeners.","Task","Sprint Backlog","Critical","devops.eng@readtrack.com","tech.lead@readtrack.com","2025-05-08","8.8","5","infrastructure,ecs,fargate","Sprint 1","Establish secure cloud infrastructure and local mobile foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","ReadTrack","WI-INFRA-001","TASK-INFRA-001","AWS CDK,ECS","High","Medium","ECS Cluster active; ALB routing correctly; Auto-scaling configured","Service stabilizes with dummy container; CloudWatch logs active","2025-05-01","2025-05-14","100%","Backend Team for health check paths","None","Load balancer reachability test","Requires dummy image","Compute environment for backend"
"TASK-BE-001","Scaffold .NET Modular Monolith Solution","Create .NET solution with Host/Modules structure, Serilog, and Global Exception Handling.","Task","Sprint Backlog","Critical","backend.dev@readtrack.com","tech.lead@readtrack.com","2025-05-06","5.2","3","backend,dotnet,architecture","Sprint 1","Establish secure cloud infrastructure and local mobile foundation","Backend Services & API","EPIC-BACKEND","ReadTrack","WI-BE-001","",".NET 8,Architecture","Medium","Low","Solution builds; ArchUnit tests pass; Swagger UI accessible","CI pipeline builds solution successfully","2025-05-01","2025-05-14","100%","None","None","Architecture unit tests","None","Codebase foundation"
"TASK-MOB-001","Define Isar Collections & Repository Layer","Implement Isar models for Book, ReadingSession, Goal and BaseRepository CRUD.","Task","Sprint Backlog","Critical","mobile.dev@readtrack.com","tech.lead@readtrack.com","2025-05-07","6.3","3","mobile,flutter,isar","Sprint 1","Establish secure cloud infrastructure and local mobile foundation","Mobile Application (Flutter)","EPIC-MOBILE","ReadTrack","WI-MOB-002","","Dart,Isar","Medium","Low","Models match backend DTOs; Local CRUD works","Widget tests verify data persistence","2025-05-01","2025-05-14","100%","Backend for DTO alignment","None","Local DB integration tests","None","Offline data capability"
"TASK-INFRA-003","Deploy Aurora Serverless v2 PostgreSQL","Create RDS Cluster, Secret Manager, and security groups via CDK.","Task","Planned","High","devops.eng@readtrack.com","tech.lead@readtrack.com","2025-05-16","6.3","3","infrastructure,database,aurora","Sprint 2","Enable Authentication and Data Synchronization","Cloud Infrastructure & DevOps","EPIC-INFRA","ReadTrack","WI-INFRA-002","TASK-INFRA-001","AWS CDK,PostgreSQL","Medium","Medium","Aurora cluster active; Credentials in Secrets Manager; Connectivity verified","Migration script can connect to DB","2025-05-15","2025-05-28","100%","Backend Team for connection strings","None","Connectivity test","Verify ACU limits","Core data persistence"
"TASK-BE-004","Design & Implement Batch Sync Endpoint","Create endpoint accepting batch sessions with 'last-write-wins' conflict resolution.","Task","Planned","Critical","backend.dev@readtrack.com","tech.lead@readtrack.com","2025-05-20","12.7","8","backend,sync,concurrency","Sprint 2","Enable Authentication and Data Synchronization","Backend Services & API","EPIC-BACKEND","ReadTrack","WI-BE-004","TASK-BE-001","C#,System Design","High","High","Handles batch updates; Resolves conflicts correctly; Idempotent","Integration tests passing for conflict scenarios","2025-05-15","2025-05-28","100%","Mobile Team for payload structure","None","Concurrency stress tests","None","Data integrity across devices"
"TASK-MOB-003","Implement Auth Repository & UI","Integrate Google/Apple sign-in and Auth0 token exchange.","Task","Planned","High","mobile.dev@readtrack.com","tech.lead@readtrack.com","2025-05-18","10.3","5","mobile,auth,oauth","Sprint 2","Enable Authentication and Data Synchronization","Mobile Application (Flutter)","EPIC-MOBILE","ReadTrack","WI-MOB-003","TASK-MOB-001","Flutter,OAuth","Medium","Medium","Social login successful; JWT stored securely; Redirects to Home","Auth flow verified on iOS and Android devices","2025-05-15","2025-05-28","100%","DevOps for Auth0 Config","Auth0, Apple/Google Developer Consoles","Manual auth testing","Requires configured certificates","User access control"
"TASK-MOB-002","Implement Background Sync Service","Create workmanager task for offline data synchronization.","Task","Planned","Critical","mobile.dev@readtrack.com","tech.lead@readtrack.com","2025-05-25","14","8","mobile,background-service,sync","Sprint 2","Enable Authentication and Data Synchronization","Mobile Application (Flutter)","EPIC-MOBILE","ReadTrack","WI-MOB-002","TASK-MOB-001,TASK-BE-004","Flutter,Background Tasks","High","High","Sync triggers on reconnect; Retry logic works; Dirty flags cleared","Verified background execution on iOS/Android","2025-05-15","2025-05-28","100%","Backend for API contract","None","Network conditioning tests","None","Seamless offline experience"
"TASK-BE-002","Implement Google Books Proxy with Resilience","HttpClient service for Google Books API with Polly policies.","Task","Planned","High","backend.dev@readtrack.com","tech.lead@readtrack.com","2025-06-02","10.3","5","backend,integration,polly","Sprint 3","Core Features: Library Management & Tracking","Backend Services & API","EPIC-BACKEND","ReadTrack","WI-BE-003","TASK-BE-001","C#,REST,Polly","Medium","Medium","Retries on 5xx; Circuit breaker active; Data mapping correct","Resilience tests passing with WireMock","2025-05-29","2025-06-11","100%","None","Google Books API","Integration tests","API Key in Secrets Manager","Book data acquisition"
"TASK-BE-003","Implement AddBook Command with Limit Enforcement","Create 'AddBookCommand' validating user tier limits.","Task","Planned","High","backend.dev@readtrack.com","tech.lead@readtrack.com","2025-06-04","8","5","backend,logic,ef-core","Sprint 3","Core Features: Library Management & Tracking","Backend Services & API","EPIC-BACKEND","ReadTrack","WI-BE-003","TASK-BE-001","C#,EF Core","Medium","Low","Free users capped at 20; Premium unlimited; Data persisted","Unit tests covering boundary conditions","2025-05-29","2025-06-11","100%","None","None","Unit tests","None","Library population"
