"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001-A","Design and Implement VPC Construct","Write CDK code for a VPC with 2 Availability Zones, Public/Private subnets, and NAT Gateway configuration.","Task","Sprint Backlog","Critical","devops.lead@company.com","system.architect@company.com","2023-11-01","5.2","3","infrastructure,aws,cdk,networking","Sprint 1","Establish secure cloud foundation and local data layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Reading Tracker App","WI-INFRA-001","","TypeScript,AWS CDK","Medium","Low","VPC spans 2 AZs; Public subnets have IGW; Private subnets have NAT Gateway route; CDK synth generates valid CloudFormation","Deployed to staging; Network reachability verified","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-10-30","2023-11-10","100%","None","AWS Account Limits","Reachability Analyzer","Foundation stack, deploy first","Provides network isolation required for security compliance."
"TASK-INFRA-001-B","Configure Security Groups and NACLs","Define Security Groups for Fargate (App), Aurora (DB), and Redis (Cache) allowing least-privilege traffic.","Task","Sprint Backlog","Critical","devops.lead@company.com","system.architect@company.com","2023-11-02","4","2","infrastructure,security,aws","Sprint 1","Establish secure cloud foundation and local data layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Reading Tracker App","WI-INFRA-001","TASK-INFRA-001-A","AWS Networking,CDK","Medium","Low","DB SG accepts traffic only from App SG on port 5432; Redis SG accepts traffic only from App SG on port 6379","Security groups deployed; Connectivity tests pass","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-10-30","2023-11-10","100%","Backend Team (Port definitions)","None","VPC Reachability Analyzer","Apply before computing resources","Ensures regulatory compliance through strict network isolation."
"TASK-INFRA-003-A","Define Fargate Cluster and Service","Create ECS Cluster and Fargate Service utilizing the .NET 8 Docker image, including Task Definitions and Role mappings.","Task","Sprint Backlog","Critical","devops.lead@company.com","system.architect@company.com","2023-11-06","10.3","5","infrastructure,compute,ecs,docker","Sprint 1","Establish secure cloud foundation and local data layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Reading Tracker App","WI-INFRA-003","TASK-INFRA-001-B","AWS ECS,CDK","High","Medium","ECS Cluster created in VPC; Fargate Service configured with min/max healthy percentages; Task Execution Role has CloudWatch Logs permissions","Service stabilizes in AWS console with dummy image","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-10-30","2023-11-10","100%","Backend Team (Docker config)","ECR Repository","Service stability check","Requires ECR repo creation first","Provides the execution environment for the backend API."
"TASK-CORE-001-A","Define Isar Collections and Indexes","Create Dart data models for Book, ReadingSession, and Goal classes annotated with @Collection. Configure composite indexes.","Task","Sprint Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2023-11-02","6.3","3","frontend,database,isar,dart","Sprint 1","Establish secure cloud foundation and local data layer","Core Library & Offline Sync","EPIC-CORE","Reading Tracker App","WI-CORE-001","","Dart,Isar,NoSQL","Medium","Medium","Models compile with build_runner; Indexes created for shelf_status, start_time, and goal_type; Isar instance opens successfully","Unit tests verifying CRUD operations locally","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-10-30","2023-11-10","100%","None","None","Local Unit Tests","None","Enables local persistence for offline usage."
"TASK-CORE-001-B","Implement Local Repository Layer","Create abstract repository interfaces and Isar-specific implementations for CRUD operations on local data.","Task","Sprint Backlog","High","mobile.lead@company.com","tech.lead@company.com","2023-11-06","8.7","5","frontend,architecture,clean-code","Sprint 1","Establish secure cloud foundation and local data layer","Core Library & Offline Sync","EPIC-CORE","Reading Tracker App","WI-CORE-001","TASK-CORE-001-A","Dart,Clean Architecture","Medium","Low","Generic repository pattern implemented; Specific methods for querying books implemented; Error handling for DB locks","Integration tests using in-memory Isar instance passed","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-10-30","2023-11-10","100%","None","None","Integration Tests","None","Decouples business logic from database implementation."
"TASK-AUTH-003-A","Configure Auth0 & Native SDKs","Setup Auth0 tenant applications, configure iOS Info.plist and AndroidManifest.xml for redirects.","Task","Sprint Backlog","High","frontend.dev@company.com","security.lead@company.com","2023-11-03","5.5","3","security,auth0,config","Sprint 1","Establish secure cloud foundation and local data layer","Identity & User Management","EPIC-AUTH","Reading Tracker App","WI-AUTH-003","","Flutter,iOS,Android","Medium","Medium","Auth0 Callback URLs configured; Native schemes registered in app; Build succeeds on both platforms","App builds and launches on both iOS and Android simulators","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-10-30","2023-11-10","100%","DevOps (Secret management)","Apple Developer Portal","Build Verification Test","Requires secrets injection in CI","Prerequisite for all user authentication flows."
"TASK-AUTH-003-B","Implement Auth Repository & Secure Storage","Create repository to handle Auth0 login, token exchange, and persistence using flutter_secure_storage.","Task","Sprint Backlog","High","frontend.dev@company.com","tech.lead@company.com","2023-11-14","6.2","3","frontend,security,auth","Sprint 2","Implement full authentication flow and external data proxy","Identity & User Management","EPIC-AUTH","Reading Tracker App","WI-AUTH-003","TASK-AUTH-003-A","Dart,Security","Medium","Low","login() method returns User object; Access/Refresh tokens stored securely; logout() clears tokens","Unit tests with mocked Auth0 pass; Tokens persist across app restart","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-11-13","2023-11-24","100%","None","None","Unit & Integration Tests","None","Manages user session security."
"TASK-AUTH-003-C","Build Login Screen UI","Implement the visual login screen with 'Sign in with Google' and 'Sign in with Apple' buttons.","Task","Sprint Backlog","High","frontend.dev@company.com","product.owner@company.com","2023-11-16","6.3","3","frontend,ui,flutter","Sprint 2","Implement full authentication flow and external data proxy","Identity & User Management","EPIC-AUTH","Reading Tracker App","WI-AUTH-003","TASK-AUTH-003-B","Flutter,UI/UX","Low","Low","UI matches Figma design; Buttons trigger AuthRepository methods; Loading states handled","Widget tests pass; Visual QA approved","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-11-13","2023-11-24","100%","Design Team","Figma Assets","Widget Tests","None","Provides the entry point for user interaction."
"WI-CORE-003","Implement Google Books API Proxy","Develop backend endpoint to proxy Google Books searches, injecting API key server-side and enforcing rate limits.","Task","Sprint Backlog","Medium","backend.dev@company.com","security.lead@company.com","2023-11-17","13","5","backend,api,security","Sprint 2","Implement full authentication flow and external data proxy","Core Library & Offline Sync","EPIC-CORE","Reading Tracker App","US-CORE-01","TASK-INFRA-003-A",".NET 8,REST,Polly","Medium","Medium","API key injected server-side; Rate limiting configured; Response DTOs normalized","Endpoint deployed; Circuit breaker tests pass; API key secure in Secrets Manager","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-11-13","2023-11-24","100%","None","Google Books API","Integration Tests with WireMock","Update ECS Task Definition with Secret ARN","Prevents API key theft and quota abuse."
"TASK-CORE-002-A","Design Sync Protocol & Dirty Flag Logic","Define the API contract for batch sync and implement 'isDirty' and 'lastUpdated' tracking in local entities.","Task","Sprint Backlog","Critical","tech.lead@company.com","system.architect@company.com","2023-11-15","6.3","3","architecture,sync,data-design","Sprint 2","Implement full authentication flow and external data proxy","Core Library & Offline Sync","EPIC-CORE","Reading Tracker App","WI-CORE-002","TASK-CORE-001-A","System Design,Dart","High","High","API Batch DTOs defined; Local entities track modification timestamps (UTC); Sequence diagrams created","Architecture review approved; Spec document published","2023-10-25T09:00:00Z","2023-10-25T09:00:00Z","2023-11-13","2023-11-24","100%","Backend Team","None","None (Design phase)","None","Foundation for offline-first capability."
