"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TSK-INFRA-001","VPC & Networking CDK Implementation","Define VPC with maxAzs=2, public/private subnets, NAT Gateways, and NACLs using aws-ec2 constructs.","Infrastructure","Sprint Backlog","Critical","devops.lead@project.com","architect@project.com","2024-05-24","6.3","3","aws-cdk,networking,infrastructure","Sprint 1","Establish Core Infrastructure & Authentication Foundation","Cloud Infrastructure","EPIC-INFRA","ReadTrack Platform","WI-INFRA-001","","AWS CDK,TypeScript,Networking","Medium","Low","CDK synth produces valid CloudFormation; VPC created with correct CIDR blocks; Subnets routed correctly","Deployed to Sandbox environment; Verified via AWS Console","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","100%","Backend Lead for CIDR planning","AWS Account Quotas","CDK Diff analysis","Foundation for all other stacks","Foundation for hosting the application securely"
"TSK-INFRA-002","ECS Fargate & ALB Construct Setup","Define ECS Cluster, Fargate Service definition, Task Definitions, and Application Load Balancer.","Infrastructure","Sprint Backlog","Critical","devops.lead@project.com","architect@project.com","2024-05-29","12","5","aws-ecs,fargate,infrastructure","Sprint 1","Establish Core Infrastructure & Authentication Foundation","Cloud Infrastructure","EPIC-INFRA","ReadTrack Platform","WI-INFRA-001","TSK-INFRA-001","AWS CDK,ECS,IAM","High","Medium","Task definition includes log driver; ALB security groups allow HTTP/HTTPS; Auto-scaling defined","Service stabilizes in ECS; Health checks pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","100%","None","None","Deployment verification","Requires VPC stack output","Enables backend service hosting"
"TSK-BE-001",".NET 8 Modular Monolith Scaffolding","Create solution structure, setup Dependency Injection containers, configure MediatR pipeline, and setup EF Core DbContexts.","Development","Sprint Backlog","Critical","backend.lead@project.com","architect@project.com","2024-05-26","12","5","dotnet,architecture,backend","Sprint 1","Establish Core Infrastructure & Authentication Foundation",".NET Modular Monolith Core","EPIC-BACKEND","ReadTrack Platform","WI-BE-001","",".NET 8,C#,Architecture","High","Medium","Solution builds clean; Module boundaries enforced; Swagger UI loads","Code committed to main; CI build pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","80%","DevOps for Containerization","None","Build verification","Sets pattern for all future backend work","Codebase foundation"
"TSK-BE-002","Auth0 Middleware Integration","Configure JWT Bearer authentication scheme, setup Auth0 domain/audience, and implement role-based policy provider.","Development","Sprint Backlog","Must Have","backend.dev@project.com","backend.lead@project.com","2024-05-28","6.3","3","security,auth0,backend","Sprint 1","Establish Core Infrastructure & Authentication Foundation",".NET Modular Monolith Core","EPIC-BACKEND","ReadTrack Platform","US-004","TSK-BE-001",".NET 8,Security,OAuth","Medium","Low","Valid tokens authorize; Invalid tokens 401; Claims extracted to CurrentUser","Integration tests with mock tokens pass","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","90%","Mobile team for token format","Auth0 Tenant","Integration tests","Requires Auth0 secrets in parameter store","Enables secure API access"
"TSK-MOB-001","Flutter Project Scaffolding & Riverpod Setup","Initialize Flutter project, setup flavors, configure linter, and implement basic Riverpod provider scope.","Development","Sprint Backlog","Critical","mobile.lead@project.com","architect@project.com","2024-05-25","10","5","flutter,frontend,setup","Sprint 1","Establish Core Infrastructure & Authentication Foundation","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","WI-MOB-001","","Flutter,Dart","Medium","Low","Runs on iOS/Android sims; Flavors config works; Riverpod hello world","Repo initialized and buildable","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","100%","None","None","Build success","None","Development efficiency"
"TSK-MOB-006","Auth0 SDK Integration & Token Storage","Integrate auth0_flutter. Implement secure storage for credentials. Configure callback URLs.","Development","Sprint Backlog","Must Have","mobile.dev@project.com","mobile.lead@project.com","2024-05-28","8.3","3","flutter,auth0,security","Sprint 1","Establish Core Infrastructure & Authentication Foundation","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-004","TSK-MOB-001","Flutter,Auth0","Medium","Low","Login webview launches; Tokens stored in Keychain; Interceptor works","Manual verification on simulator","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","85%","Backend team for Auth0 config","Auth0 Tenant Config","Manual auth flow test","Requires platform config (TSK-MOB-008)","Secure user identity"
"TSK-MOB-008","Platform Configuration (iOS/Android)","Configure AndroidManifest and Info.plist for deep linking (Auth0 callbacks). Setup signing config.","Configuration","Sprint Backlog","High","mobile.dev@project.com","mobile.lead@project.com","2024-05-30","4","2","devops,mobile,config","Sprint 1","Establish Core Infrastructure & Authentication Foundation","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-004","TSK-MOB-001","iOS,Android,Gradle","Medium","Low","Auth0 callback redirects to app; Release build succeeds","Build and Run on device","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","15%","None","None","Deep link verification","Signing keys required for release build","Enables app distribution"
"TSK-BE-003","User Registration Idempotency Logic","Implement CreateUser command handler that checks if user exists based on Auth0 sub claim.","Development","Sprint Backlog","Must Have","backend.dev@project.com","backend.lead@project.com","2024-06-01","8.3","3","backend,ef-core,users","Sprint 1","Establish Core Infrastructure & Authentication Foundation",".NET Modular Monolith Core","EPIC-BACKEND","ReadTrack Platform","US-004","TSK-BE-002","EF Core,C#,CQRS","Medium","Low","New users created; Existing users return current record; Free role default","Unit tests passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-05-22","2024-06-02","90%","None","None","Unit tests","Database migration required","User onboarding"
"TSK-MOB-002","Isar Database Schema & Repository Layer","Define Isar collections for Library, Sessions, User. Implement generic Repository interface.","Development","Sprint Backlog","Critical","mobile.lead@project.com","architect@project.com","2024-06-07","8.3","3","flutter,isar,offline","Sprint 2","Deliver Offline-First Sync Engine & Compliance Features","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-101","TSK-MOB-001","Isar,Dart","High","High","Schema generated; CRUD operations work locally; Migrations handled","Unit tests for repository layer","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-16","100%","Backend team for schema alignment","None","Local CRUD tests","Critical path for sync","Offline capability foundation"
"TSK-MOB-003","Offline Mutation Queue Implementation","Implement a queue system to store API requests locally when offline.","Development","Sprint Backlog","Critical","mobile.dev@project.com","mobile.lead@project.com","2024-06-10","12","5","flutter,sync,offline","Sprint 2","Deliver Offline-First Sync Engine & Compliance Features","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-101","TSK-MOB-002","Dart,Algorithms","High","High","Requests persist to disk; Order preserved; Serialization works","Unit tests with mocks passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-16","90%","None","None","Queue logic tests","None","Data integrity"
"TSK-MOB-004","Sync Worker & Conflict Resolution","Implement background worker for queue processing and 'Last Write Wins' logic.","Development","Sprint Backlog","Critical","mobile.lead@project.com","architect@project.com","2024-06-14","16.3","8","flutter,sync,logic","Sprint 2","Deliver Offline-First Sync Engine & Compliance Features","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-101","TSK-MOB-003","Dart,Async,Connectivity","Very High","Critical","Queue flushes on connect; Retries on 5xx; Timestamp conflict resolution","Integration tests with network conditioner","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-16","100%","Backend team for API behavior","None","Resilience testing","Highest risk component","User retention via reliability"
"TSK-SEC-001","Audit Trail Infrastructure (S3 + SQS + Lambda)","Provision S3 bucket with Object Lock (Compliance Mode), SQS FIFO queue, and Lambda consumer.","Infrastructure","Sprint Backlog","Must Have","devops.lead@project.com","architect@project.com","2024-06-08","8.3","3","aws-cdk,security,compliance","Sprint 2","Deliver Offline-First Sync Engine & Compliance Features","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","ReadTrack Platform","US-111","TSK-INFRA-001","AWS CDK,IAM,S3","Medium","Medium","S3 Object Lock enabled; SQS FIFO configured; Lambda has minimal role","Infrastructure deployed and verified","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-16","100%","Backend team for event format","None","Config verification","Immutable storage cost implications","Regulatory compliance"
"TSK-SEC-002","Backend Audit Event Publisher Service","Implement AuditService to publish structured audit events to SQS using MassTransit/AWS SDK.","Development","Sprint Backlog","Must Have","backend.dev@project.com","backend.lead@project.com","2024-06-10","6.3","3","backend,security,messaging","Sprint 2","Deliver Offline-First Sync Engine & Compliance Features","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","ReadTrack Platform","US-111","TSK-BE-001,TSK-SEC-001",".NET 8,AWS SDK,C#","Medium","Low","Events serialized JSON; Handles SQS failures; Integration verified","Integration Test passed","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-05","2024-06-16","90%","DevOps for Queue URL","None","Message delivery test","None","Security observability"
"TSK-BE-004","Account Deletion Orchestrator","Implement DeleteAccount command triggering cascading delete via domain events.","Development","Sprint Backlog","Must Have","backend.lead@project.com","architect@project.com","2024-06-20","10","5","backend,gdpr,events","Sprint 3","Finalize User Privacy & Polish Mobile UI",".NET Modular Monolith Core","EPIC-BACKEND","ReadTrack Platform","US-036","TSK-BE-001","MassTransit,EF Core,Domain Events","High","Medium","User record removed; UserDeleted event published","Integration tests passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-19","2024-06-30","80%","None","None","Event propagation test","Critical for GDPR","Regulatory compliance"
"TSK-BE-005","Cascading Data Cleanup Handlers","Implement event consumers in Library and Engagement modules to delete user data.","Development","Sprint Backlog","Must Have","backend.dev@project.com","backend.lead@project.com","2024-06-24","12","5","backend,data,cleanup","Sprint 3","Finalize User Privacy & Polish Mobile UI",".NET Modular Monolith Core","EPIC-BACKEND","ReadTrack Platform","US-036","TSK-BE-004","EF Core,C#","Medium","Medium","Library/Session/Goal data deleted for user ID","Integration tests verify cleanup","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-19","2024-06-30","90%","None","None","Orphaned data checks","None","Data hygiene"
"TSK-BE-006","Log Anonymization Job","Create background job to scrub PII from logs/trigger compliance webhooks.","Development","Sprint Backlog","Must Have","backend.dev@project.com","backend.lead@project.com","2024-06-26","5.2","2","backend,jobs,privacy","Sprint 3","Finalize User Privacy & Polish Mobile UI",".NET Modular Monolith Core","EPIC-BACKEND","ReadTrack Platform","US-036","TSK-BE-004","Background Jobs,Logging","Medium","Low","Job triggers on deletion; Audit entry created","Unit tests passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-19","2024-06-30","80%","DevOps for log access","None","Job execution test","None","Privacy compliance"
"TSK-MOB-005","Offline Sync Integration Testing","Develop automated integration tests using network simulation to verify sync robustness.","Testing","Sprint Backlog","Critical","qa.engineer@project.com","mobile.lead@project.com","2024-06-22","14","5","qa,automation,flutter","Sprint 3","Finalize User Privacy & Polish Mobile UI","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-101","TSK-MOB-004","Flutter Testing,Integration Test","High","Medium","Tests cover add/edit/delete offline; Restoration; Error handling","Tests running in CI","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-19","2024-06-30","100%","Mobile team for test hooks","None","Network simulation","None","Quality assurance"
"TSK-MOB-007","Login Screen UI & Logic","Build Login Screen with Social Buttons. Handle loading states and error navigation.","Development","Sprint Backlog","High","mobile.dev@project.com","mobile.lead@project.com","2024-06-25","6","3","flutter,ui,auth","Sprint 3","Finalize User Privacy & Polish Mobile UI","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-004","TSK-MOB-006","Flutter UI","Low","Low","UI matches design; Buttons trigger Auth0; Navigates on success","Widget tests passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-06-19","2024-06-30","90%","Designer for assets","None","Visual regression","None","User entry point"
"TSK-MON-001","Store Webhook Handler (Apple/Google)","Implement endpoint to receive S2S notifications. Validate signatures. Queue for processing.","Development","Sprint Backlog","Must Have","backend.lead@project.com","architect@project.com","2024-07-05","10","5","backend,iap,webhooks","Sprint 4","Enable Monetization & AI Recommendations","Monetization Backend","EPIC-MONETIZATION","ReadTrack Platform","US-019-BE","TSK-BE-001",".NET,Security","High","High","Signatures validated; Events queued; Returns 200 OK immediately","Integration tests with mock payloads","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-07-03","2024-07-14","80%","None","App Store / Play Console","Webhook simulation","Public endpoint configuration","Revenue collection"
"TSK-MON-002","Subscription State Manager","Process queued webhook events. Update user role and expiry date in database. Handle idempotency.","Development","Sprint Backlog","Must Have","backend.dev@project.com","backend.lead@project.com","2024-07-08","6","3","backend,iap,logic","Sprint 4","Enable Monetization & AI Recommendations","Monetization Backend","EPIC-MONETIZATION","ReadTrack Platform","US-019-BE","TSK-MON-001","EF Core,C#","Medium","Medium","User role updates on purchase/expiry; Duplicates handled","Integration tests passing","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-07-03","2024-07-14","90%","None","None","State transition tests","None","Entitlement management"
"TSK-MOB-009","IAP Service Integration","Implement service to fetch products, initiate purchase, and listen to purchase updates stream.","Development","Sprint Backlog","Must Have","mobile.lead@project.com","architect@project.com","2024-07-07","10.3","5","flutter,iap","Sprint 4","Enable Monetization & AI Recommendations","Flutter Mobile Application","EPIC-MOBILE","ReadTrack Platform","US-019","TSK-MOB-001","Flutter,IAP","High","High","Products fetched; Purchase flow initiates; Receipts sent to backend","Manual test on device","2024-05-20T09:00:00Z","2024-05-20T09:00:00Z","2024-07-03","2024-07-14","100%","Backend team for validation endpoint","Store APIs","Sandbox purchase","Store products must be active","Revenue generation"
